Gasday,Gasprice
2021-08-01,137.6
2021-08-02,137.6
2021-08-03,137.6
2021-08-04,137.6
2021-08-05,137.6
2021-08-06,137.6
2021-08-07,137.6
2021-08-08,137.6
2021-08-09,137.6
2021-08-10,137.6
2021-08-11,137.6
2021-08-12,137.6
2021-08-13,137.6
2021-08-14,137.6
2021-08-15,137.6
2021-08-16,137.6
2021-08-17,137.6
2021-08-18,137.6
2021-08-19,137.6
2021-08-20,137.6
2021-08-21,137.6
2021-08-22,137.6
2021-08-23,137.6
2021-08-24,137.6
2021-08-25,137.6
2021-08-26,137.6
2021-08-27,137.6
2021-08-28,137.6
2021-08-29,137.6
2021-08-30,137.6
2021-08-31,137.6
2021-09-01,167.5
2021-09-02,167.5
2021-09-03,167.5
2021-09-04,167.5
2021-09-05,167.5
2021-09-06,167.5
2021-09-07,167.5
2021-09-08,167.5
2021-09-09,167.5
2021-09-10,167.5
2021-09-11,167.5
2021-09-12,167.5
2021-09-13,167.5
2021-09-14,167.5
2021-09-15,167.5
2021-09-16,167.5
2021-09-17,167.5
2021-09-18,167.5
2021-09-19,167.5
2021-09-20,167.5
2021-09-21,167.5
2021-09-22,167.5
2021-09-23,167.5
2021-09-24,167.5
2021-09-25,167.5
2021-09-26,167.5
2021-09-27,167.5
2021-09-28,167.5
2021-09-29,167.5
2021-09-30,167.5
2021-10-01,227.6
2021-10-02,227.6
2021-10-03,227.6
2021-10-04,227.6
2021-10-05,227.6
2021-10-06,227.6
2021-10-07,227.6
2021-10-08,227.6
2021-10-09,227.6
2021-10-10,227.6
2021-10-11,227.6
2021-10-12,227.6
2021-10-13,227.6
2021-10-14,227.6
2021-10-15,227.6
2021-10-16,227.6
2021-10-17,227.6
2021-10-18,227.6
2021-10-19,227.6
2021-10-20,227.6
2021-10-21,227.6
2021-10-22,227.6
2021-10-23,227.6
2021-10-24,227.6
2021-10-25,227.6
2021-10-26,227.6
2021-10-27,227.6
2021-10-28,227.6
2021-10-29,227.6
2021-10-30,227.6
2021-10-31,227.6
2021-11-01,95.4
2021-11-02,95.4
2021-11-03,95.4
2021-11-04,95.4
2021-11-05,95.4
2021-11-06,95.4
2021-11-07,95.4
2021-11-08,95.4
2021-11-09,95.4
2021-11-10,95.4
2021-11-11,95.4
2021-11-12,95.4
2021-11-13,95.4
2021-11-14,95.4
2021-11-15,95.4
2021-11-16,95.4
2021-11-17,95.4
2021-11-18,95.4
2021-11-19,95.4
2021-11-20,95.4
2021-11-21,95.4
2021-11-22,95.4
2021-11-23,95.4
2021-11-24,95.4
2021-11-25,95.4
2021-11-26,95.4
2021-11-27,95.4
2021-11-28,95.4
2021-11-29,95.4
2021-11-30,95.4
2021-12-01,88.4
2021-12-02,88.4
2021-12-03,88.4
2021-12-04,88.4
2021-12-05,88.4
2021-12-06,88.4
2021-12-07,88.4
2021-12-08,88.4
2021-12-09,88.4
2021-12-10,88.4
2021-12-11,88.4
2021-12-12,88.4
2021-12-13,88.4
2021-12-14,88.4
2021-12-15,88.4
2021-12-16,88.4
2021-12-17,88.4
2021-12-18,88.4
2021-12-19,88.4
2021-12-20,88.4
2021-12-21,88.4
2021-12-22,88.4
2021-12-23,88.4
2021-12-24,88.4
2021-12-25,88.4
2021-12-26,88.4
2021-12-27,88.4
2021-12-28,88.4
2021-12-29,88.4
2021-12-30,88.4
2021-12-31,88.4
2022-01-01,228
2022-01-02,228
2022-01-03,228
2022-01-04,228
2022-01-05,228
2022-01-06,228
2022-01-07,228
2022-01-08,228
2022-01-09,228
