y____lag7,y____lag6,y____lag5,y____lag4,y____lag3,y____lag2,y____lag1,y,date
1595806680,1595806680,1595806680,1595806680,1595806680,1595806680,1595806680,1595806680,17471
1595806680,1595806680,1595806680,1595806680,1595806680,1595806680,1595806680,1636688137,17472
1636688137,1636688137,1636688137,1636688137,1636688137,1636688137,1636688137,1659460906,17473
1659460906,1659460906,1659460906,1659460906,1659460906,1659460906,1659460906,1372713121,17474
1372713121,1372713121,1372713121,1372713121,1372713121,1372713121,1372713121,1571127834,17475
1571127834,1571127834,1571127834,1571127834,1571127834,1571127834,1571127834,2039388861,17476
2039388861,2039388861,2039388861,2039388861,2039388861,2039388861,2039388861,2128192916,17477
2128192916,2128192916,2128192916,2128192916,2128192916,2128192916,2128192916,2166071911,17478
2166071911,2166071911,2166071911,2166071911,2166071911,2166071911,2166071911,2083935519,17479
2083935519,2083935519,2083935519,2083935519,2083935519,2083935519,2083935519,1938059237,17480
1938059237,1938059237,1938059237,1938059237,1938059237,1938059237,1938059237,1797963079,17481
1797963079,1797963079,1797963079,1797963079,1797963079,1797963079,1797963079,1951951825,17482
1951951825,1951951825,1951951825,1951951825,1951951825,1951951825,1951951825,2295636946,17483
2295636946,2295636946,2295636946,2295636946,2295636946,2295636946,2295636946,2325206888,17484
2325206888,2325206888,2325206888,2325206888,2325206888,2325206888,2325206888,2343258332,17485
2343258332,2343258332,2343258332,2343258332,2343258332,2343258332,2343258332,2303125751,17486
2303125751,2303125751,2303125751,2303125751,2303125751,2303125751,2303125751,2206736636,17487
2206736636,2206736636,2206736636,2206736636,2206736636,2206736636,2206736636,1984258473,17488
1984258473,1984258473,1984258473,1984258473,1984258473,1984258473,1984258473,1992787657,17489
1992787657,1992787657,1992787657,1992787657,1992787657,1992787657,1992787657,2256284384,17490
2256284384,2256284384,2256284384,2256284384,2256284384,2256284384,2256284384,2041067005,17491
2041067005,2041067005,2041067005,2041067005,2041067005,2041067005,2041067005,1849021164,17492
1849021164,1849021164,1849021164,1849021164,1849021164,1849021164,1849021164,1685070692,17493
1685070692,1685070692,1685070692,1685070692,1685070692,1685070692,1685070692,1704276953,17494
1704276953,1704276953,1704276953,1704276953,1704276953,1704276953,1704276953,1766782351,17495
1766782351,1766782351,1766782351,1766782351,1766782351,1766782351,1766782351,1971358275,17496
1971358275,1971358275,1971358275,1971358275,1971358275,1971358275,1971358275,2253200940,17497
2253200940,2253200940,2253200940,2253200940,2253200940,2253200940,2253200940,2335515028,17498
2335515028,2335515028,2335515028,2335515028,2335515028,2335515028,2335515028,2579243562,17499
2579243562,2579243562,2579243562,2579243562,2579243562,2579243562,2579243562,2685944369,17500
2685944369,2685944369,2685944369,2685944369,2685944369,2685944369,2685944369,2747156485,17501
2747156485,2747156485,2747156485,2747156485,2747156485,2747156485,2747156485,2614113632,17502
2614113632,2614113632,2614113632,2614113632,2614113632,2614113632,2614113632,2546597396,17503
2546597396,2546597396,2546597396,2546597396,2546597396,2546597396,2546597396,2583927571,17504
2583927571,2583927571,2583927571,2583927571,2583927571,2583927571,2583927571,2468685960,17505
2468685960,2468685960,2468685960,2468685960,2468685960,2468685960,2468685960,2392364672,17506
2392364672,2392364672,2392364672,2392364672,2392364672,2392364672,2392364672,2321115353,17507
2321115353,2321115353,2321115353,2321115353,2321115353,2321115353,2321115353,2407185095,17508
2407185095,2407185095,2407185095,2407185095,2407185095,2407185095,2407185095,2424470569,17509
2424470569,2424470569,2424470569,2424470569,2424470569,2424470569,2424470569,2428031974,17510
2428031974,2428031974,2428031974,2428031974,2428031974,2428031974,2428031974,2563151465,17511
2563151465,2563151465,2563151465,2563151465,2563151465,2563151465,2563151465,2603509426,17512
2603509426,2603509426,2603509426,2603509426,2603509426,2603509426,2603509426,2508538808,17513
