Gasday,HGasSLPsyn,HGasSLPana,LGasSLPsyn,LGasSLPana,HGasRLMmT,LGasRLMmT,HGasRLMoT,LGasRLMoT,Status,Unit,y,tavg,tmin,tmax,Gasprice
2021-10-02,384135768,102041568,92174112,32448840,868508208,154924416,51829781,2228264,final,kWh,1688290957,16.7,12.9,20.8,227.6
2021-10-03,304357608,93810216,77725944,30172176,872017872,152557392,47209353,2216721,final,kWh,1580067282,17.4,12.5,21.1,227.6
2021-10-04,360371664,85503624,87568008,31572408,1153759152,194356848,64817214,2447048,final,kWh,1980395966,13.3,11.8,15.5,227.6
2021-10-05,424557288,80769072,105016464,28528296,1130426928,197177688,63271859,2433560,final,kWh,2032181155,13.1,10.9,16.9,227.6
2021-10-06,501258936,92572560,121272024,33022416,1232041392,209218080,66434824,2514251,final,kWh,2258334483,11.9,10.4,13.8,227.6
2021-10-07,557224752,106540272,130965696,35016264,1313485920,208674312,73668268,5578358,final,kWh,2431153842,12,9.4,16.6,227.6
2021-10-08,554552952,114103776,132398952,42694632,1226739888,201762672,72786945,2034939,final,kWh,2347074756,11.9,7.8,17.8,227.6
2021-10-09,612888312,117910488,144114936,40187160,1012476312,170849400,64775563,2389409,final,kWh,2165591580,11.3,6.9,18.1,227.6
2021-10-10,734227992,122427000,165803304,41307456,1055106000,177506400,67107986,2419848,final,kWh,2365905986,9.1,3.9,16.1,227.6
2021-10-11,750853200,134943288,161621664,40620240,1279883568,211004448,71052841,2961588,final,kWh,2652940837,8,3.4,12.1,227.6
2021-10-12,777126048,147323376,170655048,44229216,1309038360,221130816,103914428,6272115,final,kWh,2779689407,9.4,5,11.6,227.6
2021-10-13,821896728,152044944,179041200,44352600,1383536448,222256128,88165777,6513652,final,kWh,2897807477,8.9,4.7,13.4,227.6
2021-10-14,743877600,156964704,156445992,50777208,1283922024,214595280,79642849,5108551,final,kWh,2691334208,10.7,8.2,14.5,227.6
2021-10-15,712547856,160743912,157167360,53298552,1230490536,207473928,67150887,5915563,final,kWh,2594788594,9.5,6.4,13.8,227.6
2021-10-16,752227224,153318864,178199832,50337648,1115873952,178449384,62278900,4207334,final,kWh,2494893138,8.5,3.5,14.9,227.6
2021-10-17,759338784,151786488,178042296,52214304,1114544952,175530840,59146674,822556,final,kWh,2491426894,9.8,6.8,13.9,227.6
2021-10-18,719518320,156857424,164622144,56850120,1320371328,210285816,60227949,2354060,final,kWh,2691087161,8.6,5.8,11.6,227.6
2021-10-19,591168528,157522056,130621392,53566368,1249449552,204525984,58150553,899781,final,kWh,2445904214,9.9,6.8,14.1,227.6
2021-10-20,463895304,148536120,105959304,50765784,1121849256,199811976,50544543,982945,final,kWh,2142345232,14.2,9.4,18.3,227.6
2021-10-21,540506616,136590480,140000400,47654136,1210800672,220681200,60405719,1084781,final,kWh,2357724004,12.2,6.9,15.8,227.6
2021-10-22,721297704,120055344,180339240,43286088,1236953568,217993848,68474923,1109505,final,kWh,2589510220,8.4,3.9,12.5,227.6
2021-10-23,801503448,145530312,196690608,55677936,1180449264,188425176,62250727,1058256,final,kWh,2631585727,9,4.6,13.2,227.6
2021-10-24,897788328,182825736,210038952,62312448,1146193056,193195152,56535561,1033558,final,kWh,2749922791,7.2,1.7,14.3,227.6
2021-10-25,897673584,182121192,206832504,61394208,1429053936,230189184,70756436,1137227,final,kWh,3079158271,6.6,1.4,12.8,227.6
2021-10-26,799004400,181761312,179874432,62898384,1370590032,222373728,62482470,1183611,final,kWh,2880168369,11.3,8,15.3,227.6
2021-10-27,710542416,183899472,148804128,57868392,1324250880,217215840,63087374,1160197,final,kWh,2706828699,11.3,8.2,16.3,227.6
2021-10-28,721365576,165495168,147635256,51529752,1338554400,216712968,60689175,1064224,final,kWh,2703046519,7.7,6,9.2,227.6
2021-10-29,714381144,154230576,140581416,48576552,1266419640,200808264,62517559,1046193,final,kWh,2588561344,8.3,5.5,13.9,227.6
2021-10-30,693388525,158549575,142576300,53340000,1141461600,178533425,52779556,398417,final,kWh,2421027398,7.1,4.5,9.4,227.6
2021-10-31,601746120,157767048,131832576,47608608,1004279616,165028896,49535394,897596,final,kWh,2158695854,13,7.7,17.8,227.6
2021-11-01,660993816,153006240,150750792,48777912,1200858240,191417352,67176520,1528451,final,kWh,2474509323,10.7,6.9,15.3,95.4
2021-11-02,793278312,139059048,187552776,49452552,1531503456,225998784,86998204,9102245,final,kWh,3022945377,8.2,6.9,10.9,95.4
2021-11-03,910767552,165448392,222293112,53653128,1604412480,235284984,92158005,9172796,final,kWh,3293190449,7.7,6.3,8.9,95.4
2021-11-04,1012018968,178921392,248701200,63709608,1540422168,238376496,86822611,4137227,final,kWh,3373109670,7.9,7.2,8.8,95.4
2021-11-05,1013489280,191972424,239307192,68940864,1460951544,223168848,84320792,2615083,final,kWh,3284766027,8.1,6.4,11.2,95.4
2021-11-06,980753232,205047384,223209552,72228936,1203532248,186888168,68081265,1248293,final,kWh,2940989078,6.7,4.3,8.9,95.4
2021-11-07,968259600,199264968,213391872,70282488,1192027896,189651024,71287290,1115965,final,kWh,2905281103,7,5,9,95.4
2021-11-08,1001824056,194410200,217761936,67388616,1620937008,232673520,93170409,8432149,final,kWh,3436597894,7.7,5.3,10.2,95.4
2021-11-09,1031923416,202597752,226264608,67607544,1598277456,235690992,86889199,4167001,final,kWh,3453417968,6.4,2.5,12,95.4
2021-11-10,1128184080,207031968,250756536,70099248,1730870040,244257840,110940886,9697350,final,kWh,3751837948,4,1.1,8.1,95.4
2021-11-11,1149003216,212099592,255827640,72308112,1733540448,246954384,103707942,9791581,final,kWh,3783232915,2,-0.5,6,95.4
2021-11-12,1178251200,230068104,267036120,81135384,1597771992,234584208,98359431,7635338,final,kWh,3694841777,1.8,1.4,2.4,95.4
2021-11-13,1073603400,228304560,237563928,82172832,1359966672,200719176,98512714,5168925,final,kWh,3286012207,4.1,1.6,6.9,95.4
2021-11-14,1022196600,223839408,234937152,80828520,1323334656,202193808,100125061,6388241,final,kWh,3193843446,8,6.5,10.1,95.4
2021-11-15,1070650632,215662656,261407088,75062736,1733771496,246256416,108689146,9525481,final,kWh,3721025651,7.4,6.4,8.1,95.4
2021-11-16,1118622672,216674136,274620984,73415568,1714843728,253306608,116229008,9146681,final,kWh,3776859385,6.2,5.7,6.6,95.4
2021-11-17,1079940288,228838368,260052600,78886920,1563451680,246604800,103097238,7083032,final,kWh,3567954926,6.4,5.2,7.5,95.4
2021-11-18,1046406096,232909632,246753024,81734208,1434720552,242318424,91745086,4026372,final,kWh,3380613394,7.1,5.5,9.2,95.4
2021-11-19,929355672,234300000,205891080,79800480,1375220160,223277568,86205154,3880009,final,kWh,3137930123,7.7,5.8,9.7,95.4
2021-11-20,894757272,219352872,194220264,74859936,1203688536,191740704,80623334,988797,final,kWh,2860231715,8.6,6.7,10.7,95.4
2021-11-21,992823336,195018744,223886688,68286360,1337714808,203414904,91593546,4463185,final,kWh,3117201571,6.1,5.5,6.7,95.4
2021-11-22,1170894192,187483608,284385696,69888792,1720085136,256916256,112425689,6058919,final,kWh,3808138288,5.2,1.2,8.1,95.4
2021-11-23,1276534176,209582688,296007144,76352520,1819878528,254146128,114112240,9327891,final,kWh,4055941315,3.4,-1,7.6,95.4
2021-11-24,1314354264,246970104,299507520,88060464,1823374896,250899456,112402401,9682631,final,kWh,4145251736,4.4,2.4,7.1,95.4
2021-11-25,1413418536,254082384,327345192,92507376,1813216872,255705192,112254353,9504699,final,kWh,4278034604,3.1,2.4,4.1,95.4
2021-11-26,1438396992,250817064,340915176,90858888,1665577224,249268776,110756701,8294726,final,kWh,4154885547,2.7,1.5,3.6,95.4
2021-11-27,1416795984,265711272,341154816,93794760,1538903400,215460192,103124563,9927902,final,kWh,3984872889,3.5,2.2,5.7,95.4
2021-11-28,1488338664,271999368,352598856,96774552,1544210640,223999128,103755297,9156639,final,kWh,4090833144,2.6,1.2,3.9,95.4
2021-11-29,1549780680,277970016,371683656,97125216,1824350040,272283288,108599002,9115018,final,kWh,4510906916,2.5,0.9,3.8,95.4
2021-11-30,1418486520,280105464,325564632,97595976,1645656864,258750456,102036812,4380865,final,kWh,4132577589,4.5,2.5,6.9,95.4
2021-12-01,1223715888,280544016,284948616,101507568,1535506056,260857032,86442638,3762094,final,kWh,3777283908,6.9,5.4,8.8,88.4
2021-12-02,1367218896,286045560,328409352,95648904,1815862080,277076328,109830135,10038967,final,kWh,4290130222,4.1,1.1,6,88.4
2021-12-03,1447319256,277372608,347826408,92217600,1677866160,266216616,109778222,7749932,final,kWh,4226346802,1.5,-0.7,3,88.4
2021-12-04,1329805608,292007112,329870760,102184320,1493187864,220327872,98825207,9044865,final,kWh,3875253608,2.5,0.4,5.6,88.4
2021-12-05,1386563856,300129360,334943544,104094936,1538820168,223188144,107093412,7810483,final,kWh,4002643903,4.2,2.1,6.5,88.4
2021-12-06,1507268184,294841632,362260368,98404056,1873094952,266311920,109310065,9402420,final,kWh,4520893597,3.2,1.4,4.9,88.4
2021-12-07,1501543440,300816192,355648416,98379384,1816488528,266918736,112061498,7861057,final,kWh,4459717251,3.8,0.6,6.1,88.4
2021-12-08,1483389312,310164072,347348400,102572808,1823234208,265334424,119806620,5623143,final,kWh,4457472987,4,1.8,5.5,88.4
2021-12-09,1492009416,311717016,350650368,102340272,1912039632,265718808,121240981,6701297,final,kWh,4562417790,3.2,1.8,4.2,88.4
2021-12-10,1512376128,309881328,355915248,101703240,1851420648,261255336,115113388,12297620,final,kWh,4519962936,2.6,1.4,3.8,88.4
2021-12-11,1483907328,312263784,353371128,104679672,1569522120,228341424,104525922,10256523,final,kWh,4166867901,3.3,1.1,5,88.4
2021-12-12,1375497816,304814616,313383192,104853096,1418007552,215772840,97129361,7044156,final,kWh,3836502629,3.6,1.6,5.2,88.4
2021-12-13,1221362760,293520792,266473128,103879008,1706904984,241767504,94162602,9873820,final,kWh,3937944598,6.7,5.2,8.2,88.4
2021-12-14,1157818896,270567984,256789224,92622384,1734465384,237210168,95863557,9479383,final,kWh,3854816980,7.1,5.5,7.8,88.4
2021-12-15,1092807144,241910112,239284560,83995872,1691927328,230985456,93520228,8308101,final,kWh,3682738801,7,5.7,8.2,88.4
2021-12-16,1087393776,240796320,235223520,82692648,1694478504,231261816,100482231,9080723,final,kWh,3681409538,7.7,6.4,9.1,88.4
2021-12-17,1061160480,238577064,231882048,78679968,1660189872,225187248,107773074,5583185,final,kWh,3609032939,7.3,3.8,8.3,88.4
2021-12-18,1065161832,236653080,222269328,75797784,1428079440,196715304,104286161,1271213,final,kWh,3330234142,4.3,3.3,5.1,88.4
2021-12-19,1140786096,242693136,245705400,78607344,1355248104,198660264,104247182,1250926,final,kWh,3367198452,6,4.5,8.2,88.4
2021-12-20,1394152128,266850792,322413000,85522752,1864037136,247382616,116015184,11160170,final,kWh,4307533778,3.8,-0.4,6.4,88.4
2021-12-21,1637462640,284816928,394929672,91217928,1943119032,260988888,120553749,11924372,final,kWh,4745013209,-0.3,-2.8,3.2,88.4
2021-12-22,1738054704,314148624,424359888,103150968,1835774856,257519976,118730653,9154031,final,kWh,4800893700,-1.9,-4.8,1.3,88.4
