date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-02,16.7,12.9,20.8,0,,198,13.3,,1012.7,
2021-10-03,17.4,12.5,21.1,4.5,,195,13.4,,1005.7,
2021-10-04,13.3,11.8,15.5,5.1,,203,9.1,,1017.2,
2021-10-05,13.1,10.9,16.9,3.4,,204,9.6,,1011.4,
2021-10-06,11.9,10.4,13.8,3,,220,16.1,,1017.1,
2021-10-07,12,9.4,16.6,0,,107,5.3,,1026.4,
2021-10-08,11.9,7.8,17.8,0,,38,11.8,,1029.2,
2021-10-09,11.3,6.9,18.1,0,,43,10.4,,1028.6,
2021-10-10,9.1,3.9,16.1,0,,31,5.5,,1027.4,
2021-10-11,8,3.4,12.1,4.1,,230,4.1,,1025.9,
2021-10-12,9.4,5,11.6,2.6,,262,9.5,,1020.8,
2021-10-13,8.9,4.7,13.4,0.3,,298,7,,1024.5,
2021-10-14,10.7,8.2,14.5,0,,219,10.7,,1025.4,
2021-10-15,9.5,6.4,13.8,0,,248,10.7,,1019.4,
2021-10-16,8.5,3.5,14.9,0,,41,6.3,,1022.2,
2021-10-17,9.8,6.8,13.9,0,,32,3.9,,1021.7,
2021-10-18,8.6,5.8,11.6,1,,206,4.4,,1024.9,
2021-10-19,9.9,6.8,14.1,4.4,,213,11.9,,1022,
2021-10-20,14.2,9.4,18.3,2.2,,211,16.9,,1011.7,
2021-10-21,12.2,6.9,15.8,3.8,,234,29,,1004.5,
2021-10-22,8.4,3.9,12.5,0,,241,16.1,,1018.2,
2021-10-23,9,4.6,13.2,0,,272,6.8,,1027.5,
2021-10-24,7.2,1.7,14.3,0,,101,6.3,,1026.9,
2021-10-25,6.6,1.4,12.8,0,,216,5.5,,1021.7,
2021-10-26,11.3,8,15.3,0,,228,11.3,,1022.6,
2021-10-27,11.3,8.2,16.3,0,,215,8.1,,1025.5,
2021-10-28,7.7,6,9.2,0,,123,6.2,,1021.1,
2021-10-29,8.3,5.5,13.9,0,,112,6.1,,1014,
2021-10-30,7.1,4.5,9.4,0.7,,83,6,,1009.2,
2021-10-31,13,7.7,17.8,3.5,,184,9.7,,1006.9,
2021-11-01,10.7,6.9,15.3,0.8,,210,13.1,,1003,
2021-11-02,8.2,6.9,10.9,3.4,,216,11.2,,1002.3,
2021-11-03,7.7,6.3,8.9,6.2,,101,5.7,,1001.6,
2021-11-04,7.9,7.2,8.8,0.2,,255,10.5,,1006,
2021-11-05,8.1,6.4,11.2,0,,252,7.6,,1022,
2021-11-06,6.7,4.3,8.9,0,,212,9.1,,1029.3,
2021-11-07,7,5,9,0.2,,228,17.1,,1019.7,
2021-11-08,7.7,5.3,10.2,0,,238,5.5,,1023.4,
2021-11-09,6.4,2.5,12,0,,56,5.5,,1027.9,
2021-11-10,4,1.1,8.1,0,,32,4.9,,1026.1,
2021-11-11,2,-0.5,6,0,,62,3.7,,1025.7,
2021-11-12,1.8,1.4,2.4,0,,169,5,,1021.2,
2021-11-13,4.1,1.6,6.9,1,,199,6.7,,1015.4,
2021-11-14,8,6.5,10.1,0,,40,11.1,,1021,
2021-11-15,7.4,6.4,8.1,0,,32,13.7,,1024.5,
2021-11-16,6.2,5.7,6.6,0.3,,29,6.1,,1022.7,
2021-11-17,6.4,5.2,7.5,0.1,,229,9.6,,1023.3,
2021-11-18,7.1,5.5,9.2,0,,224,10.2,,1030.1,
