date,GDP(Quarterly)
01.10.16,803730
02.10.16,803730
03.10.16,803730
04.10.16,803730
05.10.16,803730
06.10.16,803730
07.10.16,803730
08.10.16,803730
09.10.16,803730
10.10.16,803730
11.10.16,803730
12.10.16,803730
13.10.16,803730
14.10.16,803730
15.10.16,803730
16.10.16,803730
17.10.16,803730
18.10.16,803730
19.10.16,803730
20.10.16,803730
21.10.16,803730
22.10.16,803730
23.10.16,803730
24.10.16,803730
25.10.16,803730
26.10.16,803730
27.10.16,803730
28.10.16,803730
29.10.16,803730
30.10.16,803730
31.10.16,803730
01.11.16,803730
02.11.16,803730
03.11.16,803730
04.11.16,803730
05.11.16,803730
06.11.16,803730
07.11.16,803730
08.11.16,803730
09.11.16,803730
10.11.16,803730
11.11.16,803730
12.11.16,803730
13.11.16,803730
14.11.16,803730
15.11.16,803730
16.11.16,803730
17.11.16,803730
18.11.16,803730
19.11.16,803730
20.11.16,803730
21.11.16,803730
22.11.16,803730
23.11.16,803730
24.11.16,803730
25.11.16,803730
26.11.16,803730
27.11.16,803730
28.11.16,803730
29.11.16,803730
30.11.16,803730
01.12.16,803730
02.12.16,803730
03.12.16,803730
04.12.16,803730
05.12.16,803730
06.12.16,803730
07.12.16,803730
08.12.16,803730
09.12.16,803730
10.12.16,803730
11.12.16,803730
12.12.16,803730
13.12.16,803730
14.12.16,803730
15.12.16,803730
16.12.16,803730
17.12.16,803730
18.12.16,803730
19.12.16,803730
20.12.16,803730
21.12.16,803730
22.12.16,803730
23.12.16,803730
24.12.16,803730
25.12.16,803730
26.12.16,803730
27.12.16,803730
28.12.16,803730
29.12.16,803730
30.12.16,803730
31.12.16,803730
01.01.17,798840
02.01.17,798840
03.01.17,798840
04.01.17,798840
05.01.17,798840
06.01.17,798840
07.01.17,798840
08.01.17,798840
09.01.17,798840
10.01.17,798840
11.01.17,798840
12.01.17,798840
13.01.17,798840
14.01.17,798840
15.01.17,798840
16.01.17,798840
17.01.17,798840
18.01.17,798840
19.01.17,798840
20.01.17,798840
21.01.17,798840
22.01.17,798840
23.01.17,798840
24.01.17,798840
25.01.17,798840
26.01.17,798840
27.01.17,798840
28.01.17,798840
29.01.17,798840
30.01.17,798840
31.01.17,798840
01.02.17,798840
02.02.17,798840
03.02.17,798840
04.02.17,798840
05.02.17,798840
06.02.17,798840
07.02.17,798840
08.02.17,798840
09.02.17,798840
10.02.17,798840
11.02.17,798840
12.02.17,798840
13.02.17,798840
14.02.17,798840
15.02.17,798840
16.02.17,798840
17.02.17,798840
18.02.17,798840
19.02.17,798840
20.02.17,798840
21.02.17,798840
22.02.17,798840
23.02.17,798840
24.02.17,798840
25.02.17,798840
26.02.17,798840
27.02.17,798840
28.02.17,798840
01.03.17,798840
02.03.17,798840
03.03.17,798840
04.03.17,798840
05.03.17,798840
06.03.17,798840
07.03.17,798840
08.03.17,798840
09.03.17,798840
10.03.17,798840
11.03.17,798840
12.03.17,798840
13.03.17,798840
14.03.17,798840
